"session_key","meeting_key","driver_number","date","recording_url"
9466,1229,3,"2024-02-29T16:06:14.009000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_160546.mp3"
9466,1229,1,"2024-02-29T16:06:14.296000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/MAXVER01_1_20240229_160544.mp3"
9467,1229,18,"2024-03-01T12:55:45.706000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/LANSTR01_18_20240301_125522.mp3"
9467,1229,31,"2024-03-01T12:55:45.706000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/ESTOCO01_31_20240301_125535.mp3"
9467,1229,20,"2024-03-01T12:56:53.176000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/KEVMAG01_20_20240301_125626.mp3"
9467,1229,20,"2024-03-01T12:56:53.176000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/KEVMAG01_20_20240301_125634.mp3"
9467,1229,10,"2024-03-01T13:01:59.115000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/PIEGAS01_10_20240301_130150.mp3"
9467,1229,2,"2024-03-01T13:02:33.310000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/LOGSAR01_2_20240301_130220.mp3"
9467,1229,11,"2024-03-01T13:02:33.472000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/SERPER01_11_20240301_130221.mp3"
9467,1229,11,"2024-03-01T13:02:33.677000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/SERPER01_11_20240301_130227.mp3"
9467,1229,22,"2024-03-01T13:03:08.367000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/YUKTSU01_22_20240301_130251.mp3"
9467,1229,22,"2024-03-01T13:04:17.287000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/YUKTSU01_22_20240301_130344.mp3"
9467,1229,22,"2024-03-01T13:04:17.287000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/YUKTSU01_22_20240301_130348.mp3"
9467,1229,55,"2024-03-01T13:05:25.007000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/CARSAI01_55_20240301_130501.mp3"
9467,1229,10,"2024-03-01T13:05:59.360000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-03-01_Practice_3/TeamRadio/PIEGAS01_10_20240301_130525.mp3"
